SWI5	CBF1	GAL4	GAL80	ASH1
23.38	21.34	20.69	20.15	19.845
22.28	22.035	20.37	20.85	21.205
21.16	21.98	21.135	21.73	20.56
21.215	21.235	20.8	21.765	20.1
21.34	20.925	20.99	21.86	19.68
20.75	20.785	20.97	20.8	19.66
21.325	20.975	21.665	21.965	19.11
20.97	20.375	21.61	22.06	18.86
20.79	19.18	20.9	20.89	18.405
20.51	19.1	20.95	20.865	18.37
20.635	18.65	20.735	20.495	18.18
21.28	19.08	21.38	21.775	20.56
20.56	18.41	20.61	20.445	18.055
22.26	20.09	22.77	22.59	19.82
20.44	18.24	20.375	20.085	20.27
